,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Speed,13.797328965536023,13.098012745826546,12.401582748859099,11.702365646807264,10.899896512225693,10.82849481401338,10.902503651952657,11.032925182694688,11.141907022223416,10.829689720132185,10.89539791783165,11.138753718771135,11.454348379757723,11.2623139752764,11.406847826290145,11.699393874635867,5.547595214274611
GDistance,94.75752951492936,93.4151878616064,92.14242445574102,90.94025898636134,89.80823084980933,88.72367302719708,87.64163121342052,86.54953493194814,85.4401962628718,84.34529335923139,83.26090803639538,82.16293387856794,81.03290152146278,79.8977921302798,78.76636243827768,77.6150416484076,76.95250679052268
Num_Collision,1
